,Metric,English,Comments
"Carbon, C ",0.30 %,0.30 %,
"Copper, Cu ",<= 0.35 %,<= 0.35 %,
"Iron, Fe ",>= 95.8 %,>= 95.8 %,As Remainder
"Molybdenum, Mo ",0.50 %,0.50 %,
"Nitrogen, N ",<= 0.0050 %,<= 0.0050 %,
"Phosphorous, P ",<= 0.0080 %,<= 0.0080 %,
"Sulfur, S ",<= 0.0080 %,<= 0.0080 %,
"Chromium, Cr ",1.25 %,1.25 %,
"Hydrogen, H ",<= 0.0025 %,<= 0.0025 %,
"Manganese, Mn ",0.55 %,0.55 %,
"Nickel, Ni ",<= 0.25 %,<= 0.25 %,
"Oxygen, O ",<= 0.0025 %,<= 0.0025 %,
"Silicon, Si ",0.65 %,0.65 %,
"Vanadium, V ",0.30 %,0.30 %,
