,Metric,English,Comments
"Hardness, Brinell ",>= 360,>= 360,
Tensile Strength ,1380 MPa,200000 psi,
Elongation at Break ,14.4 %,14.4 %,2[in]
"Carbon, C ",0.17 - 0.25 %,0.17 - 0.25 %,
"Copper, Cu ",0.60 - 0.70 %,0.60 - 0.70 %,
"Manganese, Mn ",1.35 - 1.85 %,1.35 - 1.85 %,
"Nickel, Ni ",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si ",0.35 - 0.45 %,0.35 - 0.45 %,
"Hardness, Rockwell C ",36 - 44,36 - 44,
"Tensile Strength, Yield ",1100 MPa,160000 psi,
Reduction of Area ,55 %,55 %,
"Chromium, Cr ",0.45 - 0.60 %,0.45 - 0.60 %,
"Iron, Fe ",94.9 - 96.33 %,94.9 - 96.33 %,
"Molybdenum, Mo ",0.35 - 0.45 %,0.35 - 0.45 %,
"Phosphorous, P ",<= 0.025 %,<= 0.025 %,
"Sulfur, S ",<= 0.025 %,<= 0.025 %,
