,Metric,English,Comments
"Hardness, Brinell",420 - 455,420 - 455,
Tensile Strength ,1590 MPa,230000 psi,
Elongation at Break,17.4 %,17.4 %,2[in]
Charpy Impact,40.7 J,30.0 ft-lb,
"Carbon, C",0.20 - 0.28 %,0.20 - 0.28 %,
"Copper, Cu",0.15 - 0.30 %,0.15 - 0.30 %,
"Manganese, Mn",0.80 - 1.0 %,0.80 - 1.0 %,
"Nickel, Ni",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si",0.20 - 0.30 %,0.20 - 0.30 %,
"Hardness, Rockwell C",40 - 48,40 - 48,
"Tensile Strength, Yield",1320 MPa,191500 psi,
Reduction of Area,55 %,55 %,
"Chromium, Cr",1.1 - 1.75 %,1.1 - 1.75 %,
"Iron, Fe",95.27 - 97 %,95.27 - 97 %,
"Molybdenum, Mo",0.15 - 0.35 %,0.15 - 0.35 %,
"Phosphorous, P",<= 0.025 %,<= 0.025 %,
"Sulfur, S",<= 0.025 %,<= 0.025 %,
